RC,HID,STOP_DATE,STEEL_GRADE,TAPPED_WGT,TOTAL_CHARGE,DRI_CHARGE,SCRAP_CHARGE,POWER_ON_TIME,FINAL_TEMP,TOTAL_C_DRI,LOCAL_SCRAP,HOME_RETURN_SCRAP,IMPORTED_SCRAP,PIG_IRON,DRI_BRIQUETTED,FESI,FEMN,SIMN,FECR,NICKEL,FETI,FEB,FENB,FEP,FEMO,CU,FEV,NITROVAN,ELEC_ENERGY,OXYGEN,COKE_LUMP,MODULE_CARBON,COKE_POWDER,BURNT_LIME,BURNT_DOLAMITE,FLUX,C_ANALYSIS, 
268806,533463,02-JAN-2023 16.48.13,1011,158.6,186,150,36,41.2,1657,,22,14,,,,0,300,0,0,0,0,0,0,0,0,0,0,0,89200,5942,125,3013,0,0,6900,0,, 
268809,533464,02-JAN-2023 17.49.19,1015,160.9,187.99,155,32.99,41.4,1675,,20.16,12.83,,,,0,800,0,0,0,0,0,0,0,0,0,0,0,90200,6763,125,3043,0,0,8000,0,, 
268812,533465,02-JAN-2023 18.45.00,2010,161.3,189.99,153,36.99,40.8,1660,,22.6,14.39,,,,0,251,0,0,0,0,0,0,0,0,0,0,0,87300,5855,128,2809,0,0,8000,0,, 
268815,533466,02-JAN-2023 19.44.08,1010,159.6,189.99,151,38.99,41.3,1634,,23.83,15.16,,,,0,251,0,0,0,0,0,0,0,0,0,0,0,88400,6385,0,3250,0,0,7200,0,, 
268818,533467,02-JAN-2023 20.59.49,1010,161.6,150.39,111.4,38.99,38.9,1699,,23.83,15.16,,,,0,251,0,0,0,0,0,0,0,0,0,0,0,77000,5970,0,3547,0,0,6300,0,, 
268820,533468,02-JAN-2023 23.20.30,1010,157.3,197.5,161.5,36,55.4,1659,,22,14,,,,0,251,0,0,0,0,0,0,0,0,0,0,0,106900,6863,472,4203,0,0,6900,0,, 
268822,533469,03-JAN-2023 00.17.15,1010,157,193,157,36,40.7,1657,,22,14,,,,0,251,0,0,0,0,0,0,0,0,0,0,0,86900,6457,385,3465,0,0,5800,0,, 
268825,533470,03-JAN-2023 01.08.06,1010,159.9,193.5,157.5,36,41,1640,,22,14,,,,0,251,0,0,0,0,0,0,0,0,0,0,0,88500,6474,237,3412,0,0,6000,0,, 
268829,533471,03-JAN-2023 01.58.24,1010,160.6,186.5,150.5,36,41.4,1671,,22,14,,,,0,251,0,0,0,0,0,0,0,0,0,0,0,89600,6089,0,3335,0,998,7000,0,, 
268831,533472,03-JAN-2023 02.48.05,1011,155.2,190.8,154.8,36,40.3,1636,,22,14,,,,0,251,0,0,0,0,0,0,0,0,0,0,0,87900,6281,348,3948,0,0,6000,0,, 
268835,533473,03-JAN-2023 03.42.04,1011,161.9,191.8,155.8,36,41,1642,,22,14,,,,0,251,0,0,0,0,0,0,0,0,0,0,0,88000,6697,84,3910,0,1996,7000,0,, 
268838,533474,03-JAN-2023 04.30.39,1011,158.7,191.2,155.2,36,39.3,1680,,22,14,,,,0,251,0,0,0,0,0,0,0,0,0,0,0,86500,5973,116,3285,0,499,7000,0,, 
268841,533475,03-JAN-2023 05.22.05,1015,161.8,192,156,36,40.1,1670,,22,14,,,,0,800,0,0,0,0,0,0,0,0,0,0,0,85300,6327,160,3567,0,0,6000,0,, 
268843,533476,03-JAN-2023 06.14.35,1011,163.3,185,149,36,39,1672,,22,14,,,,0,249,0,0,0,0,0,0,0,0,0,0,0,84400,6028,160,2940,0,332,7000,0,, 
268847,533477,03-JAN-2023 07.02.54,8062,162.6,191.3,155.3,36,37.9,1667,,22,14,,,,0,990,0,0,0,0,0,0,0,0,0,0,0,83900,5844,341,1748,0,332,8000,0,, 
268851,533478,03-JAN-2023 07.58.25,8062,166.3,210.9,174.9,36,40.2,1653,,22,14,,,,0,900,0,0,0,0,0,0,0,0,0,0,0,92800,6032,236,2562,0,0,7500,0,, 
268853,533479,03-JAN-2023 08.51.05,1032,164.1,197.5,156.5,41,39.8,1642,,25.06,15.94,,,,0,887,0,0,0,0,0,0,0,0,0,0,0,87100,5935,0,3246,0,0,7000,0,, 
268857,533480,03-JAN-2023 09.51.09,1015,167.6,156.3,121.3,35,36.5,1638,,21.39,13.61,,,,0,700,0,0,0,0,0,0,0,0,0,0,0,77000,5538,236,3166,0,0,8000,0,, 
268860,533481,03-JAN-2023 11.33.46,1015,162,201.19,160,41.19,47.8,1627,,25.17,16.02,,,,0,700,0,0,0,0,0,0,0,0,0,0,0,97500,5839,350,3057,0,0,7000,0,, 
268862,533482,03-JAN-2023 12.38.05,1015,160.9,189.89,152.6,37.29,41.7,1666,,22.79,14.5,,,,0,700,0,0,0,0,0,0,0,0,0,0,0,88100,6202,0,2687,0,0,7000,0,, 
268866,533483,03-JAN-2023 13.46.45,5091,156,188.69,153.6,35.09,45.7,1653,,21.44,13.65,,,,0,986,0,0,0,0,0,0,0,0,0,0,0,88500,5327,0,1626,0,0,8000,0,, 
268869,533484,03-JAN-2023 14.40.36,5091,165.5,193.59,153.6,39.99,40,1658,,24.44,15.55,,,,0,985,0,0,0,0,0,0,0,0,0,0,0,86600,5353,0,1691,0,0,8000,0,, 
268872,533485,03-JAN-2023 15.40.34,5091,163.6,192.39,153.4,38.99,38.9,1671,,23.83,15.16,,,,0,998,0,0,0,0,0,0,0,0,0,0,0,83900,6103,233,1920,0,0,6500,0,, 
268875,533486,03-JAN-2023 16.34.11,5091,160.9,192.4,156.4,36,40.2,1678,,22,14,,,,0,998,0,0,0,0,0,0,0,0,0,0,0,87800,5877,591,2037,0,0,7000,0,, 
268878,533487,03-JAN-2023 17.31.24,5091,157.9,187.2,146.2,41,43.1,1658,,25.06,15.94,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,90000,5619,806,1864,0,0,7000,0,, 
268882,533488,03-JAN-2023 18.24.34,5071,162.8,186.3,150.3,36,40.8,1647,,22,14,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,87000,5920,839,1886,0,0,7000,0,, 
268885,533489,03-JAN-2023 19.15.32,1067,160.6,184.59,146.6,37.99,40.7,1642,,23.22,14.77,,,,0,998,0,0,0,0,0,0,0,0,0,0,0,86900,5623,679,1900,0,0,6400,0,, 
268888,533490,03-JAN-2023 20.09.02,7060,162,193.9,157.9,36,41.5,1636,,22,14,,,,0,998,0,0,0,0,0,0,0,0,0,0,0,90300,5409,0,1930,0,0,8000,0,, 
268891,533491,03-JAN-2023 20.59.15,1030,160.6,180.59,142.6,37.99,39.8,1630,,23.22,14.77,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,84000,5576,297,2393,0,1500,7000,0,, 
268894,533492,03-JAN-2023 21.48.30,1030,161.6,186.4,145.4,41,38.3,1662,,25.06,15.94,,,,0,998,0,0,0,0,0,0,0,0,0,0,0,82600,5887,0,2235,0,1996,7000,0,, 
268897,533493,03-JAN-2023 22.52.46,1010,161.5,185.09,143.1,41.99,44,1649,,25.66,16.33,,,,0,250,0,0,0,0,0,0,0,0,0,0,0,91000,6411,351,3222,0,1502,7000,0,, 
268900,533494,04-JAN-2023 00.15.46,1010,160.7,199.59,162.6,36.99,46.7,1650,,22.6,14.39,,,,0,250,0,0,0,0,0,0,0,0,0,0,0,97400,6963,937,3550,0,0,6000,0,, 
268904,533495,04-JAN-2023 01.15.21,5071,159.7,190.2,154.2,36,38.8,1654,,22,14,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,85400,6471,714,2939,0,0,6000,0,, 
268907,533496,04-JAN-2023 02.12.51,1010,161,185.9,149.9,36,40.6,1642,,22,14,,,,0,255,0,0,0,0,0,0,0,0,0,0,0,87100,6051,365,2138,0,0,7000,0,, 
268910,533497,04-JAN-2023 03.07.51,1010,159.9,187.1,151.1,36,41,1653,,22,14,,,,0,255,0,0,0,0,0,0,0,0,0,0,0,87200,6416,570,2883,0,0,5800,0,, 
268913,533498,04-JAN-2023 04.00.15,1010,168.7,174.2,138.2,36,35.6,1637,,22,14,,,,0,255,0,0,0,0,0,0,0,0,0,0,0,76100,5999,130,2164,0,0,100,0,, 
268916,533499,04-JAN-2023 04.56.11,1010,165.4,101,65,36,24,1674,,22,14,,,,0,254,0,0,0,0,0,0,0,0,0,0,0,46800,4259,699,2521,0,0,2000,0,, 
268923,533500,04-JAN-2023 23.47.09,2010,158.5,36,0,36,88,1687,,22,14,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,121300,6624,0,3414,0,0,0,0,, 
